OTU_ID,CE1_1,SBE1_2,SE1_3,CE2_4,SBE2_5,SE2_6,CE3_7,SE3_8,SE2_9,Control1_10,C01_11,SB01_12,S01_13,C02_14,SB02_15,S02_16,C03_17,SB03_18,S03_19,C04_20,SB04_21,S04_22,C05_23,SB05_24,S05_25,C06_26,SB06_27,S06_28,Control2_29,C61_30,SB61_31,S61_32,C62_33,SB62_34,S62_35,C63_36,SB63_37,S63_38,C64_39,SB64_40,S64_41,C65_42,SB65_43,S65_44,C66_45,SB66_46,S66_47,Control3_48,C121_49,SB121_50,S121_51,C122_52,SB122_53,S122_54,C123_55,SB123_56,S123_57,C124_58,SB124_59,S124_60,C125_61,SB125_62,S125_63,C126_64,SB126_65,S126_66,Control4_67,C181_68,SB181_69,S181_70,SE1_71,C182_72,SB182_73,S182_74,SBE1_75,C183_76,SB183_77,S183_78,SBE2_79,C184_80,SB184_81,S184_82,CE3_83,C185_84,SB185_85,S185_86,CE2_87,C186_88,SB186_89,S186_90,Control5_91,PositiveControl_92,PositiveControl_93,PositiveControl_94,Water_95,Water_96
BOTU_7804,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7806,0,1,1,0,0,0,1,0,0,0,2,1,1,2,0,1,2,1,5,1,4,3,4,5,0,3,4,1,0,2,2,0,1,3,4,5,0,5,1,1,1,1,0,1,0,2,4,0,0,2,1,0,4,3,1,0,2,1,5,1,1,2,2,2,1,4,0,1,1,1,0,1,3,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
BOTU_7807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7810,0,0,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTU_7812,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
