OTU,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_2347,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,BOTU_2347_Chthoniobacter
BOTU_2349,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium,BOTU_2349_Abditibacterium
BOTU_2348,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2348_Gemmataceae
BOTU_2350,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,BOTU_2350_Deinococcus
BOTU_2353,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_2353_Gemmataceae
BOTU_2356,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,FFCH7168,BOTU_2356_FFCH7168
BOTU_2345,Bacteria,Actinobacteriota,Actinobacteria,unidentified,unidentified,unidentified,BOTU_2345_Actinobacteria
BOTU_2352,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,BOTU_2352_Bryobacter
BOTU_2354,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,BOTU_2354_Chitinophagaceae
BOTU_2357,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_2357_Bacteria
BOTU_2359,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,BOTU_2359_Gemmata
BOTU_2351,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,BOTU_2351_Nocardia
BOTU_2361,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc_PCC-7107,BOTU_2361_Nostoc_PCC-7107
BOTU_2355,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,BOTU_2355_Actinomadura
BOTU_2363,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,unidentified,BOTU_2363_Polyangiaceae
