OTU,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_12,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,BOTU_12_Nitrososphaeraceae
BOTU_19,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unidentified,BOTU_19_Nitrososphaeraceae
BOTU_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,BOTU_1_Mitochondria
BOTU_9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,BOTU_9_Chloroplast
BOTU_15,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,BOTU_15_Lactobacillus
BOTU_13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,BOTU_13_Methylobacterium-Methylorubrum
BOTU_5,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,BOTU_5_Pasteurella
BOTU_4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_4_Sphingomonas
BOTU_14,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,unidentified,BOTU_14_Micrococcaceae
BOTU_2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_2_Sphingomonas
BOTU_6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,BOTU_6_Massilia
BOTU_11,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_11_Sphingomonas
BOTU_10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_10_Comamonadaceae
BOTU_23,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,BOTU_23_Nitrososphaeraceae
BOTU_16,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,BOTU_16_Staphylococcus
BOTU_8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unidentified,BOTU_8_Sphingomonadaceae
BOTU_3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_3_Pseudomonas
BOTU_17,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,BOTU_17_Bacillus
BOTU_18,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,BOTU_18_Escherichia-Shigella
BOTU_20,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,BOTU_20_Listeria
BOTU_7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,BOTU_7_Bacillus
BOTU_21,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,BOTU_21_Bradyrhizobium
BOTU_22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,BOTU_22_Aureimonas
BOTU_31,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,BOTU_31_Candidatus_Udaeobacter
BOTU_30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,BOTU_30_Methylobacterium-Methylorubrum
BOTU_24,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,BOTU_24_Enterococcus
BOTU_32,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,unidentified,unidentified,BOTU_32_Solirubrobacterales
BOTU_33,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,BOTU_33_bacteriap25
BOTU_34,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,BOTU_34_Anaeromyxobacter
BOTU_27,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_27_Pseudomonas
BOTU_26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_26_Pseudomonas
BOTU_35,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_35_Sphingomonas
BOTU_28,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,BOTU_28_Pseudonocardia
BOTU_29,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,BOTU_29_Massilia
BOTU_38,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,unidentified,unidentified,BOTU_38_Vicinamibacterales
BOTU_25,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unidentified,BOTU_25_Enterobacteriaceae
BOTU_41,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,BOTU_41_Gemmatimonadaceae
BOTU_39,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,BOTU_39_Tumebacillus
BOTU_36,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Angustibacter,BOTU_36_Angustibacter
BOTU_37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,BOTU_37_Aureimonas
BOTU_42,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Buchnera,BOTU_42_Buchnera
BOTU_40,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,BOTU_40_Bacillus
BOTU_43,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,BOTU_43_Solirubrobacter
BOTU_44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,BOTU_44_Microvirga
BOTU_45,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,BOTU_45_Nitrospira
BOTU_47,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_47_Gaiellales
BOTU_48,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_48_TK10
BOTU_46,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_46_Gaiellales
BOTU_54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,BOTU_54_Flavobacterium
BOTU_52,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_52_Gaiellales
BOTU_56,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_56_TK10
BOTU_51,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,BOTU_51_Roseomonas
BOTU_49,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_49_Oxalobacteraceae
BOTU_59,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,Rokubacteriales,Rokubacteriales,BOTU_59_Rokubacteriales
BOTU_53,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_53_Sphingomonas
BOTU_58,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,BOTU_58_Acinetobacter
BOTU_55,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,BOTU_55_Geodermatophilus
BOTU_50,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_50_Oxalobacteraceae
BOTU_57,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,BOTU_57_mle1-7
BOTU_60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,unidentified,BOTU_60_Xanthobacteraceae
BOTU_62,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_62_TK10
BOTU_61,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,unidentified,unidentified,BOTU_61_Azospirillales
BOTU_63,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,unidentified,unidentified,BOTU_63_Vicinamibacterales
BOTU_64,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,BOTU_64_RB41
BOTU_67,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,BOTU_67_Candidatus_Udaeobacter
BOTU_65,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,BOTU_65_Acidothermus
BOTU_72,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,BOTU_72_67-14
BOTU_69,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,BOTU_69_Caulobacter
BOTU_66,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,BOTU_66_Burkholderia-Caballeronia-Paraburkholderia
BOTU_68,Bacteria,Actinobacteriota,Actinobacteria,unidentified,unidentified,unidentified,BOTU_68_Actinobacteria
BOTU_70,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,BOTU_70_Massilia
BOTU_80,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Blattabacteriaceae,Candidatus_Uzinura,BOTU_80_Candidatus_Uzinura
BOTU_73,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,unidentified,unidentified,BOTU_73_Acidobacteriales
BOTU_71,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,BOTU_71_Burkholderia-Caballeronia-Paraburkholderia
BOTU_77,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,unidentified,BOTU_77_Myxococcaceae
BOTU_78,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,BOTU_78_Solirubrobacter
BOTU_74,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,unidentified,unidentified,BOTU_74_Acidobacteriales
BOTU_76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_76_MND1
BOTU_75,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,BOTU_75_Acidibacter
BOTU_79,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,BOTU_79_Phenylobacterium
BOTU_84,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Entotheonellaceae,BOTU_84_Entotheonellaceae
BOTU_82,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,BOTU_82_Gemmatimonadaceae
BOTU_83,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,BOTU_83_Burkholderia-Caballeronia-Paraburkholderia
BOTU_81,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_81_Pseudomonas
BOTU_88,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,BOTU_88_Flavobacterium
BOTU_85,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_85_Sphingomonas
BOTU_98,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,BOTU_98_Mitochondria
BOTU_86,Bacteria,Chloroflexi,KD4-96,KD4-96,KD4-96,KD4-96,BOTU_86_KD4-96
BOTU_87,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,BOTU_87_Gaiella
BOTU_95,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,BOTU_95_Flavisolibacter
BOTU_93,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_93_Gaiellales
BOTU_92,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,unidentified,BOTU_92_Xanthobacteraceae
BOTU_91,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,BOTU_91_Blastococcus
BOTU_90,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_90_Pseudomonas
BOTU_99,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_99_Gaiellales
BOTU_89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira,BOTU_89_Nitrosospira
BOTU_97,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_97_Elsterales
BOTU_103,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae,BOTU_103_Nitrososphaeraceae
BOTU_96,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_96_Elsterales
BOTU_108,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,BOTU_108_unidentified
BOTU_94,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,BOTU_94_Kurthia
BOTU_100,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,BOTU_100_Acidothermus
BOTU_101,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Povalibacter,BOTU_101_Povalibacter
BOTU_102,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,BOTU_102_Delftia
BOTU_104,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,BOTU_104_Solirubrobacter
BOTU_106,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,BOTU_106_Bryobacter
BOTU_105,Bacteria,Actinobacteriota,Thermoleophilia,unidentified,unidentified,unidentified,BOTU_105_Thermoleophilia
BOTU_107,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,BOTU_107_Dactylosporangium
BOTU_110,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,BOTU_110_Labrys
BOTU_109,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,BOTU_109_Sphingomonas
BOTU_121,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,unidentified,BOTU_121_Roseiflexaceae
BOTU_117,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,BOTU_117_RB41
BOTU_112,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,BOTU_112_Mycobacterium
BOTU_120,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,BOTU_120_Nitrospira
BOTU_115,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_115_Gaiellales
BOTU_116,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,Rokubacteriales,Rokubacteriales,BOTU_116_Rokubacteriales
BOTU_111,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_111_SC-I-84
BOTU_113,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter,BOTU_113_Acidibacter
BOTU_119,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_119_Gaiellales
BOTU_124,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,BOTU_124_Rickettsiella
BOTU_118,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,unidentified,BOTU_118_Geodermatophilaceae
BOTU_114,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_114_Elsterales
BOTU_122,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,BOTU_122_Pseudonocardia
BOTU_123,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_123_SC-I-84
BOTU_126,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Alsobacter,BOTU_126_Alsobacter
BOTU_125,Bacteria,Proteobacteria,Alphaproteobacteria,unidentified,unidentified,unidentified,BOTU_125_Alphaproteobacteria
BOTU_128,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Sorangium,BOTU_128_Sorangium
BOTU_127,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,TRA3-20,BOTU_127_TRA3-20
BOTU_129,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,unidentified,BOTU_129_Beijerinckiaceae
BOTU_130,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_130_TK10
BOTU_135,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,BOTU_135_Reyranella
BOTU_133,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,unidentified,unidentified,BOTU_133_Vicinamibacterales
BOTU_131,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,BOTU_131_Haliangium
BOTU_139,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,BOTU_139_Gemmatimonadaceae
BOTU_132,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,BOTU_132_Nocardioides
BOTU_138,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,unidentified,BOTU_138_Micromonosporaceae
BOTU_137,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,BOTU_137_Amycolatopsis
BOTU_136,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylophilus,BOTU_136_Methylophilus
BOTU_134,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_134_Burkholderiales
BOTU_140,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,BOTU_140_67-14
BOTU_142,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacteraceae,BOTU_142_Vicinamibacteraceae
BOTU_143,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,unidentified,BOTU_143_Acetobacteraceae
BOTU_141,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,unidentified,BOTU_141_Kineosporiaceae
BOTU_151,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,unidentified,BOTU_151_Roseiflexaceae
BOTU_144,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,BOTU_144_Ellin6067
BOTU_147,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_147_Gaiellales
BOTU_146,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,BOTU_146_Terrabacter
BOTU_148,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,BOTU_148_Actinoplanes
BOTU_149,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,BOTU_149_Subgroup_7
BOTU_145,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,BOTU_145_Pseudomonas
BOTU_153,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_153_TK10
BOTU_152,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,BOTU_152_Actinomycetospora
BOTU_150,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,BOTU_150_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
BOTU_154,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,BOTU_154_Skermanella
BOTU_155,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_155_MND1
BOTU_159,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_159_TK10
BOTU_157,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,BOTU_157_Microvirga
BOTU_156,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_156_Gaiellales
BOTU_158,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,unidentified,BOTU_158_Beijerinckiaceae
BOTU_161,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_161_TK10
BOTU_160,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,BOTU_160_Methylobacterium-Methylorubrum
BOTU_162,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,unidentified,BOTU_162_Devosiaceae
BOTU_166,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_166_TK10
BOTU_165,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_165_TK10
BOTU_163,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_163_Elsterales
BOTU_164,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,BOTU_164_Dongia
BOTU_167,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,unidentified,unidentified,BOTU_167_Gaiellales
BOTU_171,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,BOTU_171_Nitrospira
BOTU_170,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,unidentified,BOTU_170_Sandaracinaceae
BOTU_169,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,unidentified,BOTU_169_Acetobacteraceae
BOTU_168,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Nordella,BOTU_168_Nordella
BOTU_174,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,BOTU_174_Rubrobacter
BOTU_172,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,BOTU_172_Skermanella
BOTU_179,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,BOTU_179_Gemmatimonas
BOTU_173,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,BOTU_173_Paenarthrobacter
BOTU_175,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,BOTU_175_Micromonospora
BOTU_181,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,unidentified,BOTU_181_Acetobacteraceae
BOTU_176,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_176_Elsterales
BOTU_177,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,BOTU_177_Nocardioides
BOTU_178,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,BOTU_178_Nocardioides
BOTU_180,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,Subgroup_7,BOTU_180_Subgroup_7
BOTU_184,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10,BOTU_184_TK10
BOTU_186,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,unidentified,BOTU_186_Gemmataceae
BOTU_183,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,BOTU_183_Gemmatimonadaceae
BOTU_182,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,unidentified,unidentified,BOTU_182_Acidobacteriales
BOTU_187,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,BOTU_187_Roseisolibacter
BOTU_185,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_185_Elsterales
BOTU_190,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,BOTU_190_Chryseobacterium
BOTU_189,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,unidentified,unidentified,BOTU_189_Acidobacteriales
BOTU_188,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unidentified,BOTU_188_Rhizobiaceae
BOTU_194,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavitalea,BOTU_194_Flavitalea
BOTU_191,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,BOTU_191_Conexibacter
BOTU_203,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,BOTU_203_Mycoplasma
BOTU_198,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema_CCAP_1459-11B,BOTU_198_Tychonema_CCAP_1459-11B
BOTU_200,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,BOTU_200_Hymenobacter
BOTU_193,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,BOTU_193_P3OB-42
BOTU_204,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,unidentified,BOTU_204_Gemmatimonadaceae
BOTU_192,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,BOTU_192_Actinophytocola
BOTU_195,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,unidentified,unidentified,BOTU_195_Elsterales
